district,okrug
район Крюково,1
район Матушкино,1
район Савёлки,1
район Силино,1
район Старое Крюково,1
район Куркино,2
Молжаниновский район,2
район Северное Тушино,2
район Южное Тушино,2
район Митино,3
район Покровское-Стрешнево,3
район Крылатское,4
район Строгино,4
район Филёвский Парк,5
район Хорошёво-Мнёвники,5
Головинский район,6
район Левобережный,6
район Ховрино,6
район Восточное Дегунино,7
Дмитровский район,7
район Аэропорт,8
Войковский район,8
район Коптево,8
район Сокол,8
район Беговой,9
Савёловский район,9
Тимирязевский район,9
Хорошёвский район,9
район Бибирево,10
район Лианозово,10
район Северный,10
Алтуфьевский район,11
район Марфино,11
район Отрадное,11
район Свиблово,12
район Северное Медведково,12
район Южное Медведково,12
Бабушкинский район,13
Лосиноостровский район,13
Ярославский район,13
Алексеевский район,14
Бутырский район,14
район Марьина Роща,14
Останкинский район,14
район Ростокино,14
район Гольяново,15
район Метрогородок,15
район Богородское,16
район Преображенское,16
район Перово,17
район Восточное Измайлово,18
район Восточный,18
район Измайлово,18
район Новогиреево,19
район Косино-Ухтомский,20
район Некрасовка,20
район Новокосино,20
район Капотня,22
район Кузьминки,23
район Лефортово,24
Нижегородский район,24
район Текстильщики,24
Южнопортовый район,24
район Печатники,25
район Братеево,26
район Зябликово,26
район Орехово-Борисово Северное,27
район Москворечье-Сабурово,28
район Бирюлёво Восточное,29
район Бирюлёво Западное,29
район Чертаново Центральное,30
район Чертаново Южное,30
Нагорный район,31
район Чертаново Северное,31
Даниловский район,32
Донской район,32
район Нагатино-Садовники,32
район Южное Бутово,33
район Ясенево,34
район Коньково,35
район Тёплый Стан,35
район Котловка,36
Обручевский район,36
район Черёмушки,36
Академический район,37
Гагаринский район,37
Ломоносовский район,37
поселение Вороновское,38
поселение Воскресенское,38
поселение Десёновское,38
поселение Киевский,38
поселение Клёновское,38
поселение Московский,38
поселение «Мосрентген»,38
поселение Рязановское,38
поселение Роговское,38
поселение Сосенское,38
поселение Филимонковское,38
поселение Щаповское,38
городской округ Щербинка,38
район Внуково,39
Ново-Переделкино,39
поселение Внуковское,39
поселение Кокошкино,39
поселение Краснопахорское,39
поселение Марушкинское,39
поселение Михайлово-Ярцевское,39
поселение Новофёдоровское,39
поселение Первомайское,39
городской округ Троицк,39
район Очаково-Матвеевское,40
район Солнцево,40
Можайский район,41
район Дорогомилово,42
район Раменки,42
район Арбат,43
Пресненский район,43
район Хамовники,43
район Замоскворечье,44
Таганский район,44
Тверской район,44
район Якиманка,44
Басманный район,45
Красносельский район,45
Мещанский район,45
район Сокольники,45
