district,osm_id,electoral_district
Нижнесергинский район,,174
городской округ Лесной,,175
муниципальный округ Алапаевск,,175
муниципальный округ Алапаевское,,175
Верхнесалдинский муниципальный округ,,175
муниципальный округ Верхотурский,,175
Волчанский муниципальный округ,,175
Гаринский муниципальный округ,,175
Ивдельский муниципальный округ,,175
Качканарский муниципальный округ,,175
Нижнетуринский муниципальный округ,,175
Новолялинский муниципальный округ,,175
Североуральский муниципальный округ,,175
Серовский муниципальный округ,,175
Сосьвинский муниципальный округ,,175
Тавдинский муниципальный округ,,175
муниципальный округ Карпинск,,175
муниципальный округ Краснотурьинск,,175
муниципальный округ Красноуральск,,175
Махнёвский муниципальный округ,,175
муниципальный округ Нижняя Салда,,175
муниципальный округ Пелым,,175
Таборинский район,,175
Смоленская область,,176
Тамбовская область,,177
Московский район,1784072,178
Пролетарский район,1784081,178
Центральный район,1784077,178
Бежецкий муниципальный округ,,178
Весьегонский муниципальный округ,,178
Калязинский муниципальный округ,,178
Кашинский муниципальный округ,,178
Кесовогорский муниципальный округ,,178
Кимрский муниципальный округ,,178
Конаковский муниципальный округ,,178
Краснохолмский муниципальный округ,,178
Лесной муниципальный округ,,178
Максатихинский муниципальный округ,,178
Молоковский муниципальный округ,,178
Рамешковский муниципальный округ,,178
Сандовский муниципальный округ,,178
Сонковский муниципальный округ,,178
Удомельский муниципальный округ,,178
Заволжский район,1263279,179
городской округ Торжок,,179
ЗАТО Озёрный,,179
ЗАТО Солнечный,1724015,179
Андреапольский муниципальный округ,,179
Бельский муниципальный округ,,179
Бологовский муниципальный округ,,179
Вышневолоцкий муниципальный округ,,179
Жарковский муниципальный округ,,179
Западнодвинский муниципальный округ,,179
Зубцовский муниципальный округ,,179
Кувшиновский муниципальный округ,,179
Лихославльский муниципальный округ,,179
Нелидовский муниципальный округ,,179
Оленинский муниципальный округ,,179
Осташковский муниципальный округ,,179
Пеновский муниципальный округ,,179
Ржевский муниципальный округ,,179
Селижаровский муниципальный округ,,179
Спировский муниципальный округ,,179
Старицкий муниципальный округ,,179
Торопецкий муниципальный округ,,179
Фировский муниципальный округ,,179
Торжокский район,,179
Томская область,,180
Привокзальный территориальный округ,,181
Советский территориальный округ,,181
Центральный территориальный округ,,181
городской округ Славный,,181
Ефремовский муниципальный округ,,181
Арсеньевский район,,181
Белёвский район,,181
Богородицкий район,,181
Воловский район,,181
Дубенский район,,181
Каменский район,1748978,181
Киреевский район,,181
Куркинский район,,181
Одоевский район,,181
Плавский район,,181
Суворовский район,,181
Тёпло-Огарёвский район,,181
Чернский район,,181
Щёкинский район,,181
городской округ Алексин,,182
городской округ Донской,,182
городской округ Новомосковск,,182
Зареченский территориальный округ,,182
Пролетарский территориальный округ,,182
городской округ Новогуровский,,182
Венёвский район,,182
Заокский район,,182
Кимовский район,,182
Узловский район,,182
Ясногорский район,,182
городской округ Ишим,,183
городской округ Тобольск,,183
Ленинский административный округ,897991,183
Центральный административный округ,897988,183
Абатский район,,183
Аромашевский район,,183
Вагайский район,,183
Викуловский район,,183
Ишимский район,,183
Нижнетавдинский район,,183
Сорокинский район,,183
Тобольский район,,183
Уватский район,,183
Юргинский район,,183
Ярковский район,,183
Восточный административный округ,,184
Калининский административный округ,,184
городской округ Ялуторовск,,184
Голышмановский муниципальный округ,,184
Заводоуковский муниципальный округ,,184
Армизонский район,,184
Бердюжский район,,184
Исетский район,,184
Казанский район,,184
Омутинский район,,184
Сладковский район,,184
Тюменский район,,184
Упоровский район,,184
Ялуторовский район,,184
городской округ Димитровград,,185
Заволжский район,3155928,185
Ленинский район,3115289,185
Кузоватовский район,,185
Мелекесский район,,185
Новомалыклинский район,,185
Сенгилеевский район,,185
Старомайнский район,,185
Тереньгульский район,,185
Чердаклинский район,,185
городской округ Новоульяновск,,186
Железнодорожный район,3155858,186
Засвияжский район,,186
Базарносызганский район,,186
Барышский район,,186
Вешкаймский район,,186
Инзенский район,,186
Карсунский район,,186
Майнский район,,186
Николаевский район,1760236,186
Новоспасский район,,186
Павловский район,1760239,186
Радищевский район,,186
Старокулаткинский район,,186
Сурский район,,186
Ульяновский район,,186
Цильнинский район,,186
Калининский район,1579611,188
Тракторозаводский район,1581743,188
Центральный район,1579833,188
Пластовский муниципальный округ,,188
Сосновский район,,188
Уйский район,,188
Чебаркульский район,,188
Верхнеуфалейский городской округ,,189
Кыштымский городской округ,,189
Озёрский городской округ,,189
Снежинский городской округ,,189
Курчатовский район,1579610,189
Металлургический район,,189
Нязепетровский муниципальный округ,,189
Каслинский район,,189
Красноармейский район,398394,189
Кунашакский район,,189
Копейский городской округ,,189
Ленинский район,1581744,190
Советский район,1581689,190
Южноуральский городской округ,,190
Еманжелинский район,,190
Еткульский район,,190
Коркинский муниципальный округ,,190
Октябрьский район,398386,190
Увельский район,,190
Локомотивный городской округ,,191
Магнитогорский городской округ,,191
Троицкий городской округ,,191
Агаповский район,,191
Брединский район,,191
Варненский район,,191
Верхнеуральский район,,191
Карталинский район,,191
Кизильский район,,191
Нагайбакский район,,191
Троицкий район,398423,191
Чесменский район,,191
Златоустовский городской округ,,192
Карабашский городской округ,,192
Миасский городской округ,,192
Трёхгорный городской округ,,192
Усть-Катавский городской округ,,192
Чебаркульский городской округ,,192
Аргаяшский район,,192
Ашинский район,,192
Катав-Ивановский район,,192
Кусинский район,,192
Саткинский муниципальный округ,,192
Дзержинский район,3352045,193
Заволжский район,3351787,193
Ленинский район,3352060,193
Фрунзенский район,3351788,193
Даниловский район,1277971,193
Любимский район,,193
Некрасовский район,,193
Первомайский район,1375570,193
Пошехонский район,,193
Арефинское сельское поселение,,193
Назаровское сельское поселение,,193
Огарковское сельское поселение,,193
Октябрьское сельское поселение,,193
сельское поселение Песочное,,193
Тутаевский район,,193
Заволжское сельское поселение,,193
Кузнечихинское сельское поселение,,193
Некрасовское сельское поселение,,193
городское поселение Лесная Поляна,,193
городской округ Рыбинск,,194
Кировский район,3351953,194
Красноперекопский район,3351824,194
Большесельский район,,194
Борисоглебский район,,194
Брейтовский район,,194
Гаврилов-Ямский район,,194
Мышкинский район,,194
Некоузский район,,194
Переславль-Залесский муниципальный округ,,194
Ростовский район,,194
Волжское сельское поселение,,194
Глебовское сельское поселение,,194
Каменниковское сельское поселение,,194
Покровское сельское поселение,1432235,194
Судоверфское сельское поселение,,194
Тихменевское сельское поселение,,194
Угличский район,,194
Ивняковское сельское поселение,,194
Карабихское сельское поселение,,194
Курбское сельское поселение,,194
Туношенское сельское поселение,,194
район Богородское,,195
район Сокольники,,195
Алексеевский район,1250526,195
Бабушкинский район,,195
Бутырский район,,195
Лосиноостровский район,,195
район Марфино,,195
район Марьина Роща,,195
Останкинский район,,195
район Ростокино,,195
район Свиблово,,195
Ярославский район,,195
район Крылатское,,196
район Кунцево,,196
Можайский район,,196
район Филёвский Парк,,196
район Фили-Давыдково,,196
район Строгино,,196
район Аэропорт,,197
район Беговой,,197
Бескудниковский район,,197
район Восточное Дегунино,,197
Дмитровский район,,197
район Западное Дегунино,,197
район Коптево,,197
Савёловский район,,197
Тимирязевский район,,197
Хорошёвский район,,197
район Выхино-Жулебино,,198
район Капотня,,198
район Кузьминки,,198
район Люблино,,198
район Марьино,,198
Алтуфьевский район,,199
район Бибирево,,199
район Лианозово,,199
район Отрадное,,199
район Северное Медведково,,199
район Северный,,199
район Южное Медведково,,199
район Печатники,,200
Южнопортовый район,,200
Даниловский район,1281209,200
Донской район,,200
район Москворечье-Сабурово,,200
район Нагатино-Садовники,,200
район Нагатинский Затон,,200
Нагорный район,,200
район Чертаново Северное,,200
район Котловка,,200
Новомосковский административный округ,,201
Троицкий административный округ,,201
район Бирюлёво Восточное,,202
район Бирюлёво Западное,,202
район Братеево,,202
район Зябликово,,202
район Орехово-Борисово Северное,,202
Орехово-Борисово Южное,,202
район Царицыно,,202
район Вешняки,,203
район Косино-Ухтомский,,203
район Новогиреево,,203
район Новокосино,,203
район Перово,,203
район Некрасовка,,203
Нижегородский район,1278046,203
Рязанский район,,203
район Текстильщики,,203
район Восточное Измайлово,,204
район Восточный,,204
район Гольяново,,204
район Ивановское,,204
район Измайлово,,204
район Метрогородок,,204
район Преображенское,,204
район Северное Измайлово,,204
район Соколиная Гора,,204
Войковский район,,205
район Сокол,,205
район Митино,,205
район Покровское-Стрешнево,,205
район Хорошёво-Мнёвники,,205
район Щукино,,205
район Южное Тушино,,205
Зеленоградский административный округ,,206
Головинский район,,206
район Левобережный,,206
Молжаниновский район,,206
район Ховрино,,206
район Куркино,,206
район Северное Тушино,,206
Центральный административный округ,2162196,207
район Лефортово,,207
Академический район,1281220,208
Гагаринский район,,208
район Зюзино,,208
район Коньково,,208
Ломоносовский район,1281702,208
Обручевский район,,208
район Тёплый Стан,,208
район Черёмушки,,208
район Северное Бутово,,209
район Южное Бутово,,209
район Ясенево,,209
район Чертаново Центральное,,209
район Чертаново Южное,,209
район Дорогомилово,,210
Ново-Переделкино,,210
район Очаково-Матвеевское,,210
район Проспект Вернадского,,210
район Раменки,,210
район Солнцево,,210
Тропарёво-Никулино,,210
округ Малая Охта,,211
округ Пороховые,,211
Невский район,,211
Красносельский район,,212
Кронштадтский район,,212
Петродворцовый район,,212
округ Сампсониевское,,213
округ Светлановское,,213
округ Шувалово-Озерки,,213
Левашово,,213
Парголово,,213
округ Академическое,,213
округ Гражданка,,213
Петроградский район,,213
Литейный округ,,213
округ Смольнинское,,213
округ № 15,,214
округ Сергиевское,,214
округ Сосновское,,214
округ № 21,,214
округ Пискарёвка,,214
округ Прометей,,214
округ Северный,,214
Финляндский округ,,214
округ Большая Охта,,214
округ Полюстрово,,214
округ Ржевка,,214
Курортный район,,215
Приморский район,,215
Адмиралтейский округ,,216
Екатерингофский округ,,216
округ Коломна,,216
Василеостровский район,,216
Кировский район,1114809,216
Колпинский район,,217
Фрунзенский район,369514,217
округ № 78,,217
Владимирский округ,,217
Дворцовый округ,,217
округ Лиговка-Ямская,,217
округ Измайловское,,218
округ Семёновский,,218
Сенной округ,,218
Московский район,338636,218
Пушкинский район,,218
Севастополь,3788485,219
Еврейская автономная область,,220
Ненецкий автономный округ,,221
городской округ Когалым,,222
городской округ Нефтеюганск,,222
городской округ Нягань,,222
городской округ Пыть-Ях,,222
городской округ Урай,,222
городской округ Ханты-Мансийск,,222
городской округ Югорск,,222
Белоярский район,,222
Берёзовский район,,222
Кондинский район,,222
Нефтеюганский район,,222
Октябрьский район,1761426,222
Советский район,1442695,222
Ханты-Мансийский район,,222
городской округ Лангепас,,223
городской округ Мегион,,223
городской округ Нижневартовск,,223
городской округ Покачи,,223
городской округ Радужный,,223
городской округ Сургут,,223
Нижневартовский район,,223
Чукотский автономный округ,,224
Ямало-Ненецкий автономный округ,,225
