electoral_district,name,voters,color_id,color
92,Воронежская область – Павловский одномандатный избирательный округ,601692,12,#0000ff
93,Запорожская область – Запорожский одномандатный избирательный округ,446114,3,#008000
94,Ивановская область – Ивановский одномандатный избирательный округ,757581,11,#00ffff
95,Иркутская область – Иркутский одномандатный избирательный округ,466013,14,#6495ed
96,Иркутская область – Ангарский одномандатный избирательный округ,474956,5,#b03060
97,Иркутская область – Шелеховский одномандатный избирательный округ,468592,8,#ffff00
98,Иркутская область – Братский одномандатный избирательный округ,414984,7,#ffa500
99,Калининградская область – Калининградский одномандатный избирательный округ,422893,7,#ffa500
100,Калининградская область – Центральный одномандатный избирательный округ,420252,8,#ffff00
101,Калужская область – Калужский одномандатный избирательный округ,798108,15,#ee82ee
102,Кемеровская область – Кузбасс – Кемеровский одномандатный избирательный округ,476218,10,#00fa9a
103,Кемеровская область – Кузбасс – Прокопьевский одномандатный избирательный округ,465297,8,#ffff00
104,Кемеровская область – Кузбасс – Заводский одномандатный избирательный округ,468276,11,#00ffff
105,Кемеровская область – Кузбасс – Новокузнецкий одномандатный избирательный округ,479791,14,#6495ed
106,Кировская область – Кировский одномандатный избирательный округ,479428,7,#ffa500
107,Кировская область – Кирово-Чепецкий одномандатный избирательный округ,518106,6,#ff0000
108,Костромская область – Костромской одномандатный избирательный округ,498001,12,#0000ff
109,Курганская область – Курганский одномандатный избирательный округ,647236,5,#b03060
110,Курская область –  Курский одномандатный избирательный округ,434853,1,#2f4f4f
111,Курская область –  Сеймский одномандатный избирательный округ,437628,11,#00ffff
112,Ленинградская область – Всеволожский одномандатный избирательный округ,476487,14,#6495ed
113,Ленинградская область – Гатчинский одномандатный избирательный округ,476666,6,#ff0000
114,Ленинградская область – Волховский одномандатный избирательный округ,481469,8,#ffff00
115,Липецкая область – Липецкий одномандатный избирательный округ,443681,10,#00fa9a
116,Липецкая область – Левобережный одномандатный избирательный округ,447047,12,#0000ff
117,Магаданская область – Магаданский одномандатный избирательный округ,96892,14,#6495ed
118,Московская область – Балашихинский одномандатный избирательный округ,460958,7,#ffa500
119,Московская область – Дмитровский одномандатный избирательный округ,521488,2,#8b4513
120,Московская область – Коломенский одномандатный избирательный округ,460906,13,#ff00ff
121,Московская область – Красногорский одномандатный избирательный округ,560975,12,#0000ff
122,Московская область – Люберецкий одномандатный избирательный округ,527464,13,#ff00ff
123,Московская область – Мытищинский одномандатный избирательный округ,464620,9,#7fff00
124,Московская область – Одинцовский одномандатный избирательный округ,560565,3,#008000
125,Московская область – Орехово-Зуевский одномандатный избирательный округ,520099,8,#ffff00
126,Московская область – Подольский одномандатный избирательный округ,547138,4,#00008b
127,Московская область – Сергиево-Посадский одномандатный избирательный округ,503805,5,#b03060
128,Московская область – Серпуховский одномандатный избирательный округ,549438,10,#00fa9a
